Time_s,Event,Priority,Size_bytes
12.9023,Tx_WiFi,2,90
12.9126,Rx_802.15.4,N/A,90
12.9126,Tx_WiFi,2,90
12.9186,Rx_802.15.4,N/A,90
12.9186,Tx_WiFi,2,90
12.9283,Rx_802.15.4,N/A,90
12.9283,Tx_WiFi,1,90
13.3041,Rx_802.15.4,N/A,10
13.3574,Rx_802.15.4,N/A,90
13.3574,Tx_WiFi,2,90
13.3631,Rx_802.15.4,N/A,90
13.3631,Tx_WiFi,2,90
13.3728,Rx_802.15.4,N/A,90
13.3728,Tx_WiFi,2,90
13.3794,Rx_802.15.4,N/A,90
13.3794,Tx_WiFi,2,90
13.3828,Rx_802.15.4,N/A,40
13.3828,Tx_WiFi,2,40
13.4016,Rx_802.15.4,N/A,90
13.4016,Tx_WiFi,2,90
13.4066,Rx_802.15.4,N/A,90
13.4066,Tx_WiFi,2,90
13.4176,Rx_802.15.4,N/A,90
13.4176,Tx_WiFi,2,90
13.422,Rx_802.15.4,N/A,90
13.422,Tx_WiFi,2,90
13.8053,Rx_802.15.4,N/A,10
13.846,Rx_802.15.4,N/A,90
13.846,Tx_WiFi,2,90
13.8517,Rx_802.15.4,N/A,90
13.8517,Tx_WiFi,2,90
13.8633,Rx_802.15.4,N/A,90
13.8633,Tx_WiFi,2,90
13.8664,Rx_802.15.4,N/A,39
13.8664,Tx_WiFi,2,39
13.8784,Rx_802.15.4,N/A,90
13.8784,Tx_WiFi,2,90
13.8837,Rx_802.15.4,N/A,90
13.8837,Tx_WiFi,2,90
13.8921,Rx_802.15.4,N/A,90
13.8921,Tx_WiFi,1,90
13.9092,Rx_802.15.4,N/A,73
13.9092,Tx_WiFi,3,73
14.2961,Rx_802.15.4,N/A,10
14.3388,Rx_802.15.4,N/A,90
14.3388,Tx_WiFi,2,90
14.3432,Rx_802.15.4,N/A,90
14.3432,Tx_WiFi,2,90
14.3532,Rx_802.15.4,N/A,90
14.3532,Tx_WiFi,2,90
14.3576,Rx_802.15.4,N/A,90
14.3576,Tx_WiFi,2,90
14.363,Rx_802.15.4,N/A,90
14.363,Tx_WiFi,2,90
14.3862,Rx_802.15.4,N/A,90
14.3862,Tx_WiFi,2,90
14.3919,Rx_802.15.4,N/A,90
14.3919,Tx_WiFi,2,90
14.4016,Rx_802.15.4,N/A,90
14.4016,Tx_WiFi,3,90
14.8313,Rx_802.15.4,N/A,90
14.8313,Tx_WiFi,2,90
14.8373,Rx_802.15.4,N/A,90
14.8373,Tx_WiFi,2,90
14.8476,Rx_802.15.4,N/A,90
14.8476,Tx_WiFi,2,90
14.8533,Rx_802.15.4,N/A,90
14.8533,Tx_WiFi,2,90
14.858,Rx_802.15.4,N/A,90
14.858,Tx_WiFi,2,90
14.8777,Rx_802.15.4,N/A,90
14.8777,Tx_WiFi,2,90
14.8828,Rx_802.15.4,N/A,90
14.8828,Tx_WiFi,2,90
14.8944,Rx_802.15.4,N/A,90
14.8944,Tx_WiFi,2,90
14.8997,Rx_802.15.4,N/A,90
14.8997,Tx_WiFi,2,90
15.3238,Rx_802.15.4,N/A,90
15.3238,Tx_WiFi,2,90
15.3298,Rx_802.15.4,N/A,90
15.3298,Tx_WiFi,2,90
15.3372,Rx_802.15.4,N/A,90
15.3372,Tx_WiFi,2,90
15.3436,Rx_802.15.4,N/A,90
15.3436,Tx_WiFi,2,90
15.3477,Rx_802.15.4,N/A,54
15.3477,Tx_WiFi,2,54
15.3526,Rx_802.15.4,N/A,90
15.3526,Tx_WiFi,2,90
15.357,Rx_802.15.4,N/A,90
15.357,Tx_WiFi,2,90
15.368,Rx_802.15.4,N/A,90
15.368,Tx_WiFi,2,90
15.3733,Rx_802.15.4,N/A,90
15.3733,Tx_WiFi,2,90
15.3836,Rx_802.15.4,N/A,90
15.3836,Tx_WiFi,3,90
15.755,Rx_802.15.4,N/A,10
15.814,Rx_802.15.4,N/A,90
15.814,Tx_WiFi,2,90
15.8184,Rx_802.15.4,N/A,90
15.8184,Tx_WiFi,2,90
15.8307,Rx_802.15.4,N/A,90
15.8307,Tx_WiFi,2,90
15.835,Rx_802.15.4,N/A,38
15.835,Tx_WiFi,2,38
15.8448,Rx_802.15.4,N/A,90
15.8448,Tx_WiFi,2,90
15.8495,Rx_802.15.4,N/A,90
15.8495,Tx_WiFi,2,90
15.8617,Rx_802.15.4,N/A,90
15.8617,Tx_WiFi,1,90
16.2516,Rx_802.15.4,N/A,10
16.3059,Rx_802.15.4,N/A,90
16.3059,Tx_WiFi,0,90
16.3119,Rx_802.15.4,N/A,90
16.3119,Tx_WiFi,0,90
16.3209,Rx_802.15.4,N/A,90
16.3209,Tx_WiFi,2,90
16.3256,Rx_802.15.4,N/A,90
16.3256,Tx_WiFi,2,90
16.3319,Rx_802.15.4,N/A,90
16.3319,Tx_WiFi,2,90
16.3369,Rx_802.15.4,N/A,90
16.3369,Tx_WiFi,2,90
16.3416,Rx_802.15.4,N/A,90
16.3416,Tx_WiFi,2,90
16.799,Rx_802.15.4,N/A,90
16.799,Tx_WiFi,2,90
16.8044,Rx_802.15.4,N/A,90
16.8044,Tx_WiFi,2,90
16.8121,Rx_802.15.4,N/A,90
16.8121,Tx_WiFi,2,90
16.8168,Rx_802.15.4,N/A,90
16.8168,Tx_WiFi,2,90
16.8215,Rx_802.15.4,N/A,90
16.8215,Tx_WiFi,2,90
16.8288,Rx_802.15.4,N/A,90
16.8288,Tx_WiFi,2,90
16.8335,Rx_802.15.4,N/A,90
16.8335,Tx_WiFi,2,90
16.8428,Rx_802.15.4,N/A,90
16.8428,Tx_WiFi,2,90
16.8476,Rx_802.15.4,N/A,90
16.8476,Tx_WiFi,2,90
16.8582,Rx_802.15.4,N/A,90
16.8582,Tx_WiFi,3,90
17.2663,Rx_802.15.4,N/A,10
17.2902,Rx_802.15.4,N/A,90
17.2902,Tx_WiFi,2,90
17.2949,Rx_802.15.4,N/A,90
17.2949,Tx_WiFi,2,90
17.3059,Rx_802.15.4,N/A,90
17.3059,Tx_WiFi,2,90
17.3106,Rx_802.15.4,N/A,90
17.3106,Tx_WiFi,2,90
17.3143,Rx_802.15.4,N/A,50
17.3143,Tx_WiFi,2,50
17.3212,Rx_802.15.4,N/A,90
17.3212,Tx_WiFi,2,90
17.3252,Rx_802.15.4,N/A,38
17.3252,Tx_WiFi,2,38
17.335,Rx_802.15.4,N/A,90
17.335,Tx_WiFi,2,90
17.3394,Rx_802.15.4,N/A,90
17.3394,Tx_WiFi,2,90
17.7222,Rx_802.15.4,N/A,10
17.7247,Rx_802.15.4,N/A,10
17.7808,Rx_802.15.4,N/A,90
17.7808,Tx_WiFi,2,90
17.7858,Rx_802.15.4,N/A,90
17.7858,Tx_WiFi,2,90
17.7977,Rx_802.15.4,N/A,90
17.7977,Tx_WiFi,2,90
17.8037,Rx_802.15.4,N/A,90
17.8037,Tx_WiFi,2,90
17.8112,Rx_802.15.4,N/A,90
17.8112,Tx_WiFi,1,90
17.8263,Rx_802.15.4,N/A,73
17.8263,Tx_WiFi,3,73
18.2732,Rx_802.15.4,N/A,90
18.2732,Tx_WiFi,0,90
18.2796,Rx_802.15.4,N/A,90
18.2796,Tx_WiFi,0,90
18.2873,Rx_802.15.4,N/A,90
18.2873,Tx_WiFi,2,90
18.292,Rx_802.15.4,N/A,90
18.292,Tx_WiFi,2,90
18.2967,Rx_802.15.4,N/A,90
18.2967,Tx_WiFi,2,90
18.3036,Rx_802.15.4,N/A,90
18.3036,Tx_WiFi,0,90
18.3093,Rx_802.15.4,N/A,90
18.3093,Tx_WiFi,0,90
18.3174,Rx_802.15.4,N/A,90
18.3174,Tx_WiFi,2,90
18.324,Rx_802.15.4,N/A,90
18.324,Tx_WiFi,2,90
18.3337,Rx_802.15.4,N/A,90
18.3337,Tx_WiFi,1,90
18.7619,Rx_802.15.4,N/A,90
18.7619,Tx_WiFi,2,90
18.7672,Rx_802.15.4,N/A,90
18.7672,Tx_WiFi,2,90
18.7779,Rx_802.15.4,N/A,90
18.7779,Tx_WiFi,2,90
18.7823,Rx_802.15.4,N/A,90
18.7823,Tx_WiFi,2,90
18.7852,Rx_802.15.4,N/A,46
18.7852,Tx_WiFi,2,46
18.7929,Rx_802.15.4,N/A,90
18.7929,Tx_WiFi,2,90
18.7996,Rx_802.15.4,N/A,90
18.7996,Tx_WiFi,2,90
18.8073,Rx_802.15.4,N/A,90
18.8073,Tx_WiFi,2,90
18.8133,Rx_802.15.4,N/A,90
18.8133,Tx_WiFi,2,90
19.2196,Rx_802.15.4,N/A,10
19.2531,Rx_802.15.4,N/A,90
19.2531,Tx_WiFi,2,90
19.2564,Rx_802.15.4,N/A,38
19.2564,Tx_WiFi,2,38
19.2694,Rx_802.15.4,N/A,90
19.2694,Tx_WiFi,2,90
19.2744,Rx_802.15.4,N/A,38
19.2744,Tx_WiFi,2,38
19.2848,Rx_802.15.4,N/A,90
19.2848,Tx_WiFi,2,90
19.2904,Rx_802.15.4,N/A,90
19.2904,Tx_WiFi,2,90
19.3008,Rx_802.15.4,N/A,90
19.3008,Tx_WiFi,1,90
19.7016,Rx_802.15.4,N/A,10
19.7171,Rx_802.15.4,N/A,10
19.7456,Rx_802.15.4,N/A,90
19.7456,Tx_WiFi,2,90
19.7503,Rx_802.15.4,N/A,90
19.7503,Tx_WiFi,2,90
19.7547,Rx_802.15.4,N/A,90
19.7547,Tx_WiFi,2,90
19.776,Rx_802.15.4,N/A,90
19.776,Tx_WiFi,2,90
19.7826,Rx_802.15.4,N/A,90
19.7826,Tx_WiFi,2,90
19.7913,Rx_802.15.4,N/A,90
19.7913,Tx_WiFi,1,90
20.2377,Rx_802.15.4,N/A,90
20.2377,Tx_WiFi,2,90
20.2434,Rx_802.15.4,N/A,90
20.2434,Tx_WiFi,2,90
20.2537,Rx_802.15.4,N/A,90
20.2537,Tx_WiFi,2,90
20.2584,Rx_802.15.4,N/A,90
20.2584,Tx_WiFi,2,90
20.2644,Rx_802.15.4,N/A,90
20.2644,Tx_WiFi,2,90
20.2684,Rx_802.15.4,N/A,90
20.2684,Tx_WiFi,2,90
20.2735,Rx_802.15.4,N/A,90
20.2735,Tx_WiFi,2,90
20.2841,Rx_802.15.4,N/A,90
20.2841,Tx_WiFi,2,90
20.2901,Rx_802.15.4,N/A,90
20.2901,Tx_WiFi,2,90
20.7283,Rx_802.15.4,N/A,90
20.7283,Tx_WiFi,0,90
20.7327,Rx_802.15.4,N/A,90
20.7327,Tx_WiFi,0,90
20.7436,Rx_802.15.4,N/A,90
20.7436,Tx_WiFi,2,90
20.7493,Rx_802.15.4,N/A,90
20.7493,Tx_WiFi,2,90
20.7537,Rx_802.15.4,N/A,51
20.7537,Tx_WiFi,2,51
20.7596,Rx_802.15.4,N/A,90
20.7596,Tx_WiFi,2,90
20.7647,Rx_802.15.4,N/A,90
20.7647,Tx_WiFi,2,90
20.7734,Rx_802.15.4,N/A,90
20.7734,Tx_WiFi,2,90
20.7788,Rx_802.15.4,N/A,90
20.7788,Tx_WiFi,2,90
20.7891,Rx_802.15.4,N/A,90
20.7891,Tx_WiFi,1,90
21.1709,Rx_802.15.4,N/A,10
21.2214,Rx_802.15.4,N/A,90
21.2214,Tx_WiFi,2,90
21.2258,Rx_802.15.4,N/A,90
21.2258,Tx_WiFi,2,90
21.2355,Rx_802.15.4,N/A,90
21.2355,Tx_WiFi,2,90
21.2397,Rx_802.15.4,N/A,36
21.2397,Tx_WiFi,2,36
21.2524,Rx_802.15.4,N/A,90
21.2524,Tx_WiFi,2,90
21.257,Rx_802.15.4,N/A,35
21.257,Tx_WiFi,2,35
21.6678,Rx_802.15.4,N/A,10
21.6886,Rx_802.15.4,N/A,10
21.7123,Rx_802.15.4,N/A,90
21.7123,Tx_WiFi,0,90
21.7189,Rx_802.15.4,N/A,90
21.7189,Tx_WiFi,0,90
21.7264,Rx_802.15.4,N/A,90
21.7264,Tx_WiFi,2,90
21.7314,Rx_802.15.4,N/A,90
21.7314,Tx_WiFi,2,90
21.7371,Rx_802.15.4,N/A,90
21.7371,Tx_WiFi,2,90
21.7433,Rx_802.15.4,N/A,90
21.7433,Tx_WiFi,1,90
22.2044,Rx_802.15.4,N/A,90
22.2044,Tx_WiFi,2,90
22.2088,Rx_802.15.4,N/A,90
22.2088,Tx_WiFi,2,90
22.2211,Rx_802.15.4,N/A,90
22.2211,Tx_WiFi,2,90
22.2271,Rx_802.15.4,N/A,90
22.2271,Tx_WiFi,2,90
22.2324,Rx_802.15.4,N/A,90
22.2324,Tx_WiFi,2,90
22.2366,Rx_802.15.4,N/A,90
22.2366,Tx_WiFi,2,90
