Time_s,NodeID,SeqNum,Priority,Size_bytes
39.418,5,4043374847,0,101
39.418,5,4060152063,0,101
39.4333,10,1996554495,3,101
39.4333,10,2013331711,3,101
39.4487,8,419496191,1,101
39.4641,11,2734751999,3,84
39.8935,2,788594943,2,101
39.8935,2,805372159,2,101
39.9089,3,687931647,2,101
39.9089,3,704708863,2,101
39.9089,3,721486079,2,101
39.9242,5,4076929279,2,101
39.9242,5,4093706495,2,47
39.9396,10,2030108927,2,101
39.9396,10,2046886143,2,101
40.385,2,822149375,2,101
40.385,2,838926591,2,101
40.4004,3,738263295,2,101
40.4004,3,755040511,2,101
40.4004,3,771817727,2,101
40.4157,10,2063663359,2,101
40.4157,10,2080440575,2,101
40.4311,8,436273407,1,101
40.8772,2,855703807,2,101
40.8772,2,872481023,2,101
40.8925,3,788594943,2,101
40.8925,3,805372159,2,101
40.8925,3,822149375,2,50
40.9079,5,4127260927,2,101
40.9079,5,4144038143,2,101
40.9233,10,2097217791,2,101
40.9233,10,2113995007,2,101
40.9386,8,453050623,1,101
41.3693,2,889258239,2,101
41.3693,2,906035455,2,101
41.3847,5,4160815359,2,101
41.3847,5,4177592575,2,101
41.4001,10,2130772223,2,101
41.4001,10,2147549439,2,101
41.8586,2,922812671,2,101
41.8586,2,939589887,2,101
41.874,3,855703807,2,101
41.874,3,872481023,2,101
41.874,3,889258239,2,101
41.8893,5,4194369791,2,101
41.8893,5,4211147007,2,49
41.9047,10,2164326655,2,101
41.9047,10,2181103871,2,101
41.9201,8,469827839,1,101
42.3508,2,956367103,2,101
42.3508,2,973144319,2,101
42.3661,3,906035455,2,101
42.3661,3,922812671,2,101
42.3661,3,939589887,2,63
42.3815,10,2197881087,2,101
42.3815,10,2214658303,2,101
42.3969,8,486605055,3,101
42.8426,2,989921535,2,101
42.8426,2,1006698751,2,101
42.858,5,4244701439,2,101
42.858,5,4261478655,2,101
42.8733,10,2231435519,2,101
42.8733,10,2248212735,2,101
43.3332,2,1023475967,2,101
43.3332,2,1040253183,2,101
43.3485,3,973144319,2,101
43.3485,3,989921535,2,101
43.3485,3,1006698751,2,101
43.3793,5,4278255871,2,101
43.3793,5,65791,2,101
43.3946,10,2264989951,2,101
43.3946,10,2281767167,2,101
43.41,8,503382271,1,101
43.826,2,1057030399,0,101
43.826,2,1073807615,0,101
43.8413,3,1023475967,2,101
43.8413,3,1040253183,2,101
43.8413,3,1057030399,2,101
43.8567,5,16843007,0,101
43.8567,5,33620223,0,48
43.8721,10,2298544383,2,101
43.8721,10,2315321599,2,101
44.3165,2,1090584831,0,101
44.3165,2,1107362047,0,101
44.3319,3,1073807615,2,101
44.3319,3,1090584831,2,101
44.3319,3,1107362047,2,66
44.3473,10,2332098815,2,101
44.3473,10,2348876031,2,101
44.3626,8,520159487,1,101
44.378,11,2768306431,3,87
44.8084,2,1124139263,2,101
44.8084,2,1140916479,2,101
44.8237,5,67174655,0,101
44.8237,5,83951871,0,101
44.8391,10,2365653247,2,101
44.8391,10,2382430463,2,101
44.8545,8,536936703,1,101
45.3002,2,1157693695,2,101
45.3002,2,1174470911,2,101
45.3156,3,1140916479,2,101
45.3156,3,1157693695,2,101
45.3156,3,1174470911,2,101
45.3309,5,100729087,2,101
45.3309,5,117506303,2,101
45.3463,10,2399207679,2,101
45.3463,10,2415984895,2,101
45.7924,2,1191248127,2,101
45.7924,2,1208025343,2,101
45.8077,3,1191248127,2,101
45.8077,3,1208025343,2,101
45.8077,3,1224802559,2,101
45.8231,5,134283519,2,101
45.8231,5,151060735,2,50
45.8385,10,2432762111,2,101
45.8385,10,2449539327,2,101
45.8538,8,553713919,3,101
46.2833,2,1224802559,2,101
46.2833,2,1241579775,2,101
46.2986,3,1241579775,2,101
46.2986,3,1258356991,2,101
46.2986,3,1275134207,2,60
46.314,10,2466316543,2,101
46.314,10,2483093759,2,101
46.3293,8,570491135,1,101
46.7761,2,1258356991,2,101
46.7761,2,1275134207,2,101
46.7914,5,184615167,2,101
46.7914,5,201392383,2,101
46.8068,10,2499870975,2,101
46.8068,10,2516648191,2,101
47.2669,2,1291911423,2,101
47.2669,2,1308688639,2,101
47.2823,3,1308688639,2,101
47.2823,3,1325465855,2,101
47.2823,3,1342243071,2,101
47.2977,5,218169599,2,101
47.2977,5,234946815,2,101
47.313,10,2533425407,2,101
47.313,10,2550202623,2,101
47.3284,8,587268351,3,101
47.7585,2,1325465855,2,101
47.7585,2,1342243071,2,101
47.7738,3,1359020287,2,101
47.7738,3,1375797503,2,101
47.7738,3,1392574719,2,53
47.8045,5,251724031,2,101
47.8045,5,268501247,2,47
47.8199,10,2566979839,2,101
47.8199,10,2583757055,2,101
47.8353,8,604045567,3,101
47.8506,9,2936078591,3,84
48.249,2,1359020287,2,101
48.249,2,1375797503,2,48
48.2644,10,2600534271,2,101
48.2644,10,2617311487,2,101
48.7418,3,1426129151,2,101
48.7418,3,1442906367,2,101
48.7418,3,1459683583,2,101
48.7572,5,302055679,0,101
48.7572,5,318832895,0,101
48.7725,10,2634088703,2,101
48.7725,10,2650865919,2,101
48.7879,8,620822783,1,101
49.2327,2,1409351935,2,101
49.2327,2,1426129151,2,101
49.2481,3,1476460799,2,101
49.2481,3,1493238015,2,101
49.2481,3,1510015231,2,101
49.2634,5,335610111,3,101
49.2634,5,352387327,3,46
49.2788,10,2667643135,2,101
49.2788,10,2684420351,2,101
49.7249,2,1442906367,2,101
49.7249,2,1459683583,2,101
49.7402,3,1526792447,2,101
49.7402,3,1543569663,2,101
49.7402,3,1560346879,2,55
49.7556,10,2701197567,2,101
49.7556,10,2717974783,2,101
49.7709,8,637599999,1,101
50.2148,2,1476460799,2,101
50.2148,2,1493238015,2,101
50.2301,5,385941759,2,101
50.2301,5,402718975,2,101
50.2455,10,2734751999,2,101
50.2455,10,2751529215,2,49
50.2609,8,654377215,1,101
50.706,2,1510015231,2,101
50.706,2,1526792447,2,101
50.7213,3,1593901311,2,101
50.7213,3,1610678527,2,101
50.7213,3,1627455743,2,101
50.7367,5,419496191,2,101
50.7367,5,436273407,2,101
51.1997,2,1543569663,2,101
51.1997,2,1560346879,2,101
51.2151,3,1644232959,2,101
51.2151,3,1661010175,2,101
51.2151,3,1677787391,2,101
51.2458,5,453050623,2,101
51.2458,5,469827839,2,49
51.2612,10,2785083647,2,101
51.2612,10,2801860863,2,101
51.2765,8,671154431,1,101
51.6903,2,1577124095,2,101
51.6903,2,1593901311,2,101
51.7057,3,1694564607,2,101
51.7057,3,1711341823,2,101
51.7057,3,1728119039,2,63
51.721,10,2818638079,2,101
51.721,10,2835415295,2,46
51.7517,8,687931647,1,101
51.7671,11,2801860863,3,78
52.1809,2,1610678527,2,101
52.1809,2,1627455743,2,101
52.1962,5,503382271,2,101
52.1962,5,520159487,2,101
52.6743,2,1644232959,0,101
52.6743,2,1661010175,0,101
52.6897,3,1761673471,2,101
52.6897,3,1778450687,2,101
52.6897,3,1795227903,2,101
52.705,5,536936703,2,101
52.705,5,553713919,2,101
52.7204,10,2868969727,2,101
52.7204,10,2885746943,2,101
52.7357,8,704708863,0,101
53.1636,2,1677787391,2,101
53.1636,2,1694564607,2,101
53.1789,3,1812005119,2,101
53.1789,3,1828782335,2,101
53.1789,3,1845559551,2,65
53.2097,5,570491135,2,101
53.2097,5,587268351,2,47
53.225,10,2902524159,2,101
53.225,10,2919301375,2,101
53.6564,2,1711341823,2,101
53.6564,2,1728119039,2,101
53.6717,10,2936078591,2,101
53.6717,10,2952855807,2,101
53.6871,8,721486079,1,101
54.1485,2,1744896255,2,101
54.1485,2,1761673471,2,101
54.1639,3,1879113983,2,101
54.1639,3,1895891199,2,101
54.1639,3,1912668415,2,101
54.1946,5,620822783,0,101
54.1946,5,637599999,0,101
54.21,10,2969633023,2,101
54.21,10,2986410239,2,101
54.2253,8,738263295,1,101
54.6391,2,1778450687,2,101
54.6391,2,1795227903,2,101
54.6545,3,1929445631,2,101
54.6545,3,1946222847,2,101
54.6545,3,1963000063,2,101
54.6698,5,654377215,2,101
54.6698,5,671154431,2,101
54.6852,10,3003187455,2,101
54.6852,10,3019964671,2,101
55.13,2,1812005119,2,101
55.13,2,1828782335,2,101
55.1453,3,1979777279,2,101
55.1453,3,1996554495,2,101
55.1453,3,2013331711,2,68
55.1607,5,687931647,2,101
55.1607,5,704708863,2,50
55.1761,10,3036741887,2,101
55.1761,10,3053519103,2,101
55.1914,8,755040511,3,101
55.6215,2,1845559551,2,101
55.6215,2,1862336767,2,101
55.6369,10,3070296319,2,101
55.6369,10,3087073535,2,101
55.6522,8,771817727,1,101
56.1149,2,1879113983,2,101
56.1149,2,1895891199,2,101
56.1303,3,2046886143,2,101
56.1303,3,2063663359,2,101
56.1303,3,2080440575,2,101
56.1457,5,738263295,2,101
56.1457,5,755040511,2,101
56.161,10,3103850751,2,101
56.161,10,3120627967,2,101
56.6061,2,1912668415,2,101
56.6061,2,1929445631,2,101
56.6215,3,2097217791,2,101
56.6215,3,2113995007,2,101
56.6215,3,2130772223,2,101
56.6522,5,771817727,2,101
56.6522,5,788594943,2,101
56.6676,10,3137405183,2,101
56.6676,10,3154182399,2,101
56.6829,8,788594943,0,101
57.097,2,1946222847,0,101
57.097,2,1963000063,0,101
57.1124,3,2147549439,3,101
57.1124,3,2164326655,3,101
57.1124,3,2181103871,3,59
57.1277,5,805372159,2,101
57.1277,5,822149375,2,47
57.1431,10,3170959615,2,101
57.1431,10,3187736831,2,101
57.5879,2,1979777279,2,101
57.5879,2,1996554495,2,101
57.6033,10,3204514047,2,101
57.6033,10,3221291263,2,101
57.6186,8,805372159,1,101
58.0807,2,2013331711,2,101
58.0807,2,2030108927,2,101
58.0961,3,2214658303,2,101
58.0961,3,2231435519,2,101
58.0961,3,2248212735,2,101
58.1114,5,855703807,2,101
58.1114,5,872481023,2,101
58.1268,10,3238068479,2,101
58.1268,10,3254845695,2,101
58.1421,8,822149375,1,101
58.5713,2,2046886143,2,101
58.5713,2,2063663359,2,101
58.5866,3,2264989951,2,101
58.5866,3,2281767167,2,101
58.5866,3,2298544383,2,57
58.602,5,889258239,2,101
58.602,5,906035455,2,48
58.6173,10,3271622911,2,101
58.6173,10,3288400127,2,101
59.0618,2,2080440575,2,101
59.0618,2,2097217791,2,101
59.0772,10,3305177343,2,101
59.0772,10,3321954559,2,101
59.0925,8,838926591,1,101
59.554,2,2113995007,2,101
59.554,2,2130772223,2,101
59.5693,3,2332098815,2,101
59.5693,3,2348876031,2,101
59.5693,3,2365653247,2,101
59.6001,5,939589887,2,101
59.6001,5,956367103,2,101
59.6154,10,3338731775,2,101
59.6154,10,3355508991,2,101
59.6308,8,855703807,1,101
60.0458,2,2147549439,2,101
60.0458,2,2164326655,2,101
60.0612,3,2382430463,2,101
60.0612,3,2399207679,2,101
60.0612,3,2415984895,2,101
60.0765,5,973144319,2,101
60.0765,5,989921535,2,101
60.0919,10,3372286207,2,101
60.0919,10,3389063423,2,101
60.5386,2,2181103871,2,101
60.5386,2,2197881087,2,101
60.554,3,2432762111,2,101
60.554,3,2449539327,2,101
60.554,3,2466316543,2,57
60.5693,5,1006698751,2,101
60.5693,5,1023475967,2,50
60.5847,10,3405840639,2,101
60.5847,10,3422617855,2,101
60.6001,8,872481023,1,101
60.6154,9,2969633023,3,81
61.0292,2,2214658303,2,101
61.0292,2,2231435519,2,101
61.0445,10,3439395071,2,101
61.0445,10,3456172287,2,101
61.5217,2,2248212735,2,101
61.5217,2,2264989951,2,101
61.537,3,2499870975,2,101
61.537,3,2516648191,2,101
61.537,3,2533425407,2,101
61.5677,5,1057030399,2,101
61.5677,5,1073807615,2,101
61.5831,10,3472949503,2,101
61.5831,10,3489726719,2,101
61.5985,8,889258239,1,101
62.0116,2,2281767167,2,101
62.0116,2,2298544383,2,101
62.0269,3,2550202623,2,101
62.0269,3,2566979839,2,101
62.0269,3,2583757055,2,101
62.0423,5,1090584831,0,101
62.0423,5,1107362047,0,101
62.0577,10,3506503935,2,101
62.0577,10,3523281151,2,101
62.073,8,906035455,1,101
62.5047,2,2315321599,2,101
62.5047,2,2332098815,2,101
62.5201,3,2600534271,2,101
62.5201,3,2617311487,2,101
62.5201,3,2634088703,2,52
62.5354,5,1124139263,2,101
62.5354,5,1140916479,2,46
62.5508,10,3540058367,2,101
62.5508,10,3556835583,2,101
62.9946,2,2348876031,2,101
62.9946,2,2365653247,2,48
63.01,10,3573612799,2,101
63.01,10,3590390015,2,101
63.0253,8,922812671,1,101
63.4855,3,2667643135,2,101
63.4855,3,2684420351,2,101
63.4855,3,2701197567,2,101
63.5009,5,1174470911,2,101
63.5009,5,1191248127,2,101
63.5162,10,3607167231,2,101
63.5162,10,3623944447,2,101
63.5316,8,939589887,1,101
63.9786,2,2399207679,2,101
63.9786,2,2415984895,2,101
63.994,3,2717974783,2,101
63.994,3,2734751999,2,101
63.994,3,2751529215,2,61
64.0093,5,1208025343,2,101
64.0093,5,1224802559,2,101
64.0247,10,3640721663,2,101
64.0247,10,3657498879,2,101
64.4705,2,2432762111,2,101
64.4705,2,2449539327,2,101
64.4858,5,1241579775,2,101
64.4858,5,1258356991,2,48
64.5012,10,3674276095,2,101
64.5012,10,3691053311,2,101
64.5165,8,956367103,1,101
64.9607,2,2466316543,2,101
64.9607,2,2483093759,2,101
64.9761,3,2785083647,2,101
64.9761,3,2801860863,2,101
64.9761,3,2818638079,2,101
65.0068,10,3707830527,2,101
65.0068,10,3724607743,2,101
65.0221,8,973144319,1,101
65.4522,2,2499870975,2,101
65.4522,2,2516648191,2,101
65.4676,3,2835415295,2,101
65.4676,3,2852192511,2,101
65.4676,3,2868969727,2,101
65.4829,5,1291911423,2,101
65.4829,5,1308688639,2,101
65.4983,10,3741384959,2,101
65.4983,10,3758162175,2,49
65.9431,2,2533425407,2,101
65.9431,2,2550202623,2,101
65.9585,3,2885746943,2,101
65.9585,3,2902524159,2,101
65.9585,3,2919301375,2,64
65.9738,5,1325465855,2,101
65.9738,5,1342243071,2,101
65.9892,8,989921535,1,101
66.4356,2,2566979839,2,101
66.4356,2,2583757055,2,101
66.4509,5,1359020287,3,101
66.4509,5,1375797503,3,50
66.4663,10,3791716607,2,101
66.4663,10,3808493823,2,101
66.497,11,2835415295,3,89
66.9271,2,2600534271,0,101
66.9271,2,2617311487,0,101
66.9425,3,2952855807,2,101
66.9425,3,2969633023,2,101
66.9425,3,2986410239,2,101
66.9732,10,3825271039,2,101
66.9732,10,3842048255,2,101
66.9885,8,1006698751,1,101
67.4199,2,2634088703,0,101
67.4199,2,2650865919,0,101
67.4353,3,3003187455,2,101
67.4353,3,3019964671,2,101
67.4353,3,3036741887,2,101
67.4506,5,1409351935,0,101
67.4506,5,1426129151,0,101
67.466,10,3858825471,2,101
67.466,10,3875602687,2,101
67.4813,8,1023475967,1,101
67.9114,2,2667643135,2,101
67.9114,2,2684420351,2,101
67.9268,3,3053519103,2,101
67.9268,3,3070296319,2,101
67.9268,3,3087073535,2,62
67.9421,5,1442906367,2,101
67.9421,5,1459683583,2,101
67.9575,10,3892379903,2,101
67.9575,10,3909157119,2,101
68.4026,2,2701197567,0,101
68.4026,2,2717974783,0,101
68.418,5,1476460799,2,101
68.418,5,1493238015,2,48
68.4333,10,3925934335,2,101
68.4333,10,3942711551,2,101
68.4487,8,1040253183,1,101
68.8945,2,2734751999,0,101
68.8945,2,2751529215,0,101
68.9098,3,3120627967,2,101
68.9098,3,3137405183,2,101
68.9098,3,3154182399,2,101
68.9252,10,3959488767,2,101
68.9252,10,3976265983,2,101
68.9405,8,1057030399,1,101
69.3841,2,2768306431,0,101
69.3841,2,2785083647,0,101
69.3994,3,3170959615,2,101
69.3994,3,3187736831,2,101
69.3994,3,3204514047,2,60
69.4148,5,1526792447,2,101
69.4148,5,1543569663,2,101
69.4301,10,3993043199,2,101
69.4301,10,4009820415,2,101
69.8753,2,2801860863,2,101
69.8753,2,2818638079,2,101
69.8906,5,1560346879,2,101
69.8906,5,1577124095,2,50
69.906,10,4026597631,2,101
69.906,10,4043374847,2,101
69.9213,8,1073807615,1,101
69.9367,4,2147549439,0,42
70.3668,2,2835415295,2,101
70.3668,2,2852192511,2,101
70.3821,3,3238068479,2,101
70.3821,3,3254845695,2,101
70.3821,3,3271622911,2,101
70.4129,10,4060152063,2,101
70.4129,10,4076929279,2,101
70.4282,8,1090584831,1,101
70.8605,2,2868969727,2,101
70.8605,2,2885746943,2,101
70.8759,3,3288400127,2,101
70.8759,3,3305177343,2,101
70.8759,3,3321954559,2,101
70.9066,5,1610678527,2,101
70.9066,5,1627455743,2,101
70.922,10,4093706495,2,101
70.922,10,4110483711,2,101
71.3514,2,2902524159,2,101
71.3514,2,2919301375,2,101
71.3668,3,3338731775,2,101
71.3668,3,3355508991,2,101
71.3668,3,3372286207,2,56
71.3821,5,1644232959,2,101
71.3821,5,1661010175,2,101
71.3975,10,4127260927,2,101
71.3975,10,4144038143,2,101
71.4129,8,1107362047,1,101
71.8429,2,2936078591,2,101
71.8429,2,2952855807,2,101
71.8583,5,1677787391,2,101
71.8583,5,1694564607,2,46
71.8737,10,4160815359,2,101
71.8737,10,4177592575,2,101
72.3332,2,2969633023,2,101
